id,name,type,sector
HPR,Heinrich Prinz Reuss,1,5
FH,Frank Heppner,1,2
MF,Michael Fritsch,1,6
DB,Die Basis,2,4
PO,Polizei,2,6
FS,Führungsstab der Gruppe,2,7
MA,Militärischer Arm,2,7
ME,Maximilian Eder,1,2
BW,Bundeswehr,2,2
RV,Reservistenverband,2,2
CW,Christian Wendler,1,4
AfD,Alternative für Deutschland,2,4
GS,Gunter S,1,1
ÖSG,örtliche Schützengesellschaft,2,3
VP,Vereinte Patrioten,2,7
RHL,Ruth Hildegard L,1,1
RvP,Rüdiger von P,1,2
VetPo,Veteranenpool,2,3
PG,Paul G,1,1
CP,Coronaproteste,2,4
MvH,Marco van H,1,2
MR,Melanie R,1,1
PW,Peter Wörner,1,2
RR,Rene R,1,3
BMW,Birgit Malsack-Winkemann,1,4
BLG,Berliner Landgericht,2,4
BT,Bundestag,2,4
Rat,Schattenparlament,2,7
AM,Andreas M,1,2
KH,Karl Hilz,1,NA
QA,Qanon,2,7
SRO,Stadtrat Olbernhau,2,4
CDU,CDU,2,4
FR,Frank Richter,1,4
IG,Ivonne G,1,6
SSB,Staatsschutzbeamter,1,6
AQ,Alexander Q,1,7
TT,Thomas T,1,1